Label,Raza,Subraza,Género,Apariciones,Interacciones,Id
Arod,Caballo,Rohirrim,Masculino,10,27,Arod
Forlong,Hombre,Dúnedain,Masculino,9,18,Forlong
Galdor,Elfo,Noldor,Masculino,9,11,Galdor
Damrod,Hombre,Gondoriano,Masculino,9,14,Damrod
Snaga,Orco,,Masculino,9,9,Snaga
Hasufel,Caballo,,Masculino,9,20,Hasufel
Hombre-Sauce,Sauce,,Masculino,8,10,Hombre-Sauce
Hirgon,Hombre,Gondoriano,Masculino,8,5,Hirgon
Ingold,Hombre,Gondoriano,Masculino,8,11,Ingold
Hirluin,Hombre,Gondoriano,Masculino,6,3,Hirluin
WillPieblanco,Hobbit,Pieblanco,Masculino,6,2,WillPieblanco
Erestor,Elfo,,Masculino,6,15,Erestor
Húrin,Hombre,Dúnedain,Masculino,6,7,Húrin
Thorin,Enano,EnanodelasMontañas,Masculino,5,7,Thorin
Hamfast,Hobbit,Gamyi,Masculino,5,6,Hamfast
Thingol,Elfo,Silvano,Masculino,4,13,Thingol
Dúnhere,Hombre,HombredelValle,Masculino,4,6,Dúnhere
Théodred,Hombre,Rohirrim,Masculino,4,2,Théodred
Thranduil,Elfo,Silvano,Masculino,4,8,Thranduil
Grimbold,Hombre,Rohirrim,Masculino,4,4,Grimbold
Oin,Enano,EnanodelasMontañas,Masculino,4,7,Oin
Stybba,Caballo,,Masculino,4,8,Stybba
Elanor,Hobbit,Gamyi,Femenino,4,10,Elanor
Zarcillo,Ent,,Masculino,3,6,Zarcillo
Angbor,Hombre,,Masculino,3,1,Angbor
Duilin,Hombre,Dúnedain,Masculino,3,4,Duilin
Brand,Hombre,HombredelValle,Masculino,3,6,Brand
Corteza,Ent,,Masculino,3,6,Corteza
Mauhúr,Orco,Uruk-hai,Masculino,3,1,Mauhúr
Narvi,Enano,EnanodelasMontañas,Masculino,3,4,Narvi
Landroval,Águila,ÁguilaGigante,Masculino,3,6,Landroval
Paladin,Hobbit,Tuk,Masculino,3,6,Paladin
Rúmil,Elfo,Noldor,Masculino,3,6,Rúmil
Ori,Enano,EnanodelasMontañas,Masculino,3,8,Ori
Folco,Hobbit,Boffin,Masculino,3,12,Folco
Lindir,Elfo,Noldor,Masculino,3,2,Lindir
Widfara,Hombre,Rohirrim,Masculino,3,3,Widfara
Derufin,Hombre,Dúnedain,Masculino,2,4,Derufin
Meneldor,Águila,ÁguilaGigante,Masculino,2,4,Meneldor
Lotho,Hobbit,Sacovilla-Bolsón,Masculino,2,3,Lotho
Lugdush,Orco,,Masculino,2,5,Lugdush
Odo,Hobbit,Ganapié,Masculino,2,2,Odo
Roheryn,Caballo,,Masculino,2,5,Roheryn
Bard,Hombre,HombredelValle,Masculino,2,2,Bard
Celebrian,Elfo,Galadhrim,Femenino,2,2,Celebrian
Dior,Elfo,Peredhil,Masculino,2,5,Dior
Asfaloth,Caballo,,Masculino,1,0,Asfaloth
Dervorin,Hombre,Rohirrim,Masculino,1,1,Dervorin
Barahir,Hombre,Dúnedain,Masculino,1,1,Barahir
Ceorl,Hombre,Rohirrim,Masculino,1,1,Ceorl
Déorwine,Hombre,Rohirrim,Masculino,1,0,Déorwine
Guthlaf,Hombre,Rohirrim,Masculino,1,0,Guthlaf
Grimbeorn,Hombre,Beórnida,Masculino,1,2,Grimbeorn
Gothmog,Orco,,Masculino,1,0,Gothmog
Golasgil,Hombre,Gondoriano,Masculino,1,0,Golasgil
Gléowine,Hombre,Rohirrim,Masculino,1,1,Gléowine
Dwalin,Enano,EnanodelasMontañas,Masculino,1,1,Dwalin
Duinhir,Hombre,Dúnedain,Masculino,1,3,Duinhir
Hayala,Ent,,Masculino,1,0,Hayala
Muzgash,Orco,,Masculino,1,2,Muzgash
Lagduf,Orco,,Masculino,1,2,Lagduf
Prímula,Hobbit,Brandigamo,Femenino,1,2,Prímula
Radbug,Orco,,Masculino,1,1,Radbug
SeñordelosNazgûl,Nazgûl,,Masculino,1,1,SeñordelosNazgûl
Ufthak,Orco,,Masculino,1,0,Ufthak
Ungoliant,Araña,ArañaGigante,Femenino,1,3,Ungoliant
Walda,Hombre,Rohirrim,Masculino,1,2,Walda
